Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Quantum Computing, Deep Learning",On-site,9.0,"Collaboration, Adaptability",JavaScript,"Figma, Looker","SAFe Agilist Certification, Offensive Security Certified Professional (OSCP)",True,True,8,,"Discrete Mathematics, User Interface Design",3,"Experimental, Detail-Oriented",MS in Data Science
"Full Stack Development, Database Engineering, Quantum Computing",Hybrid,6.1,"Planning and Organization, Resilience, Adaptability, Critical Thinking",,"Node.js, Jira, Jenkins, Spring Boot","AWS Certified Cloud Practitioner, Backend Development (Node.js), Microsoft Certified: SQL Associate, Oracle Certified Java Programmer",False,False,4,"Technical Writing, Online Coding Contests, Podcast Creation","Chemistry, Data Structures and Algorithms, Database Management Systems, Business Intelligence",0,Logical,Software Developer (Backend)
"Game Development, Frontend Development, IoT (Internet of Things)",Hybrid,7.1,"Adaptability, Strategic Thinking, Presentation Skills","JavaScript, Kotlin, Ruby, TypeScript","Django, Kubernetes, Cypress, VS Code, NumPy, Spring Boot","Frontend Development Libraries (freeCodeCamp), Responsive Web Design (freeCodeCamp)",False,False,2,"Blogging, Open Source Contributions, Public Speaking, AR/VR Projects","Web Technologies, Linear Algebra, User Interface Design, Bioinformatics",0,"Detail-Oriented, Data-driven",Software Developer (Frontend)
Data Science,Hybrid,6.4,"Presentation Skills, Leadership, Decision Making","SQL, Python, R, C++","Scikit-learn, AWS, TensorFlow","Deep Learning Specialization (Coursera), AWS Certified Machine Learning - Specialty, Machine Learning (Stanford/Coursera)",False,True,3,"Community Service, Music, Online Coding Contests","Machine Learning, Probability and Statistics, Human Computer Interaction, Data Mining",3,"Systematic, Collaborative",Machine Learning Engineer
"Human Computer Interaction, Frontend Development",Hybrid,9.0,"Time Management, Collaboration",SQL,"Confluence, Weights & Biases, Grafana, Sketch, Tableau",Microsoft Certified: Azure AI Engineer,False,False,1,"Robotics Competitions, Gaming, Online Coding Contests, Volunteering","Bioinformatics, Operating Systems, Computer Architecture",0,"Logical, Innovative",Technical Consultant
"Human Computer Interaction, Frontend Development",On-site,7.6,"Work Ethic, Resilience",CSS,"Weights & Biases, Tableau, Django",Microsoft Certified: Azure AI Engineer,False,False,6,Innovation Challenges,"Probability and Statistics, Technical Communication, Bioinformatics, Project Management",4,"Logical, Innovative",Technical Consultant
"Database Engineering, Data Science, Big Data",Hybrid,8.3,"Creative Thinking, Emotional Intelligence",Python,"Kubernetes, Prometheus, Jest, Ansible, DBT, Laravel",Linux Foundation Certified Kubernetes Admin,True,False,7,Photography,"Cloud Infrastructure, Mobile Application Development, Biology",2,"Experimental, Intuitive",MLOps Engineer
"Technical Writing, Bioinformatics",Hybrid,7.4,Work Ethic,"Haskell, TypeScript","Figma, PostgreSQL, Terraform","Microsoft Certified: SQL Associate, Linux Foundation Certified Kubernetes Admin, Responsive Web Design (freeCodeCamp)",False,True,1,"Animation Design, Blogging","Entrepreneurship, Sociology, Virtualization and Containers, Cyber Security",0,"Strategic, Big Picture Thinker",Blockchain Developer
"Artificial Intelligence, Big Data",On-site,8.3,"Planning and Organization, Decision Making, Time Management","C#, PHP","GitLab CI/CD, TensorFlow, Figma, Node.js, Spring Boot","Deep Learning Specialization (Coursera), Project Management Professional (PMP), Linux Foundation Certified Kubernetes Admin",False,False,5,"Hackathons, Technical Writing, Entrepreneurship Clubs, Community Service","Theory of Computation, Operating Systems",2,"Analytical, Creative",Solutions Architect
"Machine Learning, Cloud Computing, Mobile App Development",Hybrid,8.2,"Strategic Thinking, Collaboration, Multitasking","R, Dart, Shell (Bash), Julia","Core Data, UIKit",iOS App Development with Swift (Apple),False,True,2,"Event Management, Startup Ideation Events, Public Speaking, Teaching/TA Work","Software Engineering, Object-Oriented Programming",2,Problem Solving,Mobile Developer (iOS)
Deep Learning,Hybrid,7.3,"Creative Thinking, Negotiation, Goal-Oriented Mindset, Conflict Resolution","C#, JavaScript, Haskell","Android Studio, Flask, Looker",Responsive Web Design (freeCodeCamp),True,True,5,"Innovation Challenges, Workshop Hosting, Open Source Contributions","Sociology, User Interface Design",0,Detail-Oriented,MS in Data Science
"Cloud Computing, Quality Assurance / Testing, Design Systems",On-site,8.4,"Multitasking, Analytical Thinking, Conflict Resolution",,"Adobe XD, InVision",,True,True,0,"AR/VR Projects, Podcast Creation, Tech Meetups, Public Speaking","Human Computer Interaction, Graphic Design, Database Management Systems, Operating Systems",0,"Detail-Oriented, Pragmatic",UI/UX Designer
"Software Engineering, Technical Writing",Hybrid,6.2,"Decision Making, Attention to Detail, Emotional Intelligence, Innovative Thinking","Lisp, Java, Ruby, TypeScript","Spark, Figma, Mocha, PostgreSQL",Google UX Design Certificate,False,False,7,"Music, Entrepreneurship Clubs, Sports","Entrepreneurship, Object-Oriented Programming",2,"Strategic, Result-Oriented",Blockchain Developer
"Database Engineering, Artificial Intelligence, Frontend Development",Hybrid,7.8,Active Listening,"Assembly, Haskell","IntelliJ IDEA, Kafka, Spring Boot",Project Management Professional (PMP),True,True,7,"Sports, Graphic Design, Teaching/TA Work","Web Technologies, Project Management, Data Structures and Algorithms, Technical Communication",2,"Creative, Innovative",IoT Engineer
Design Systems,On-site,8.8,"Problem Solving, Leadership, Analytical Thinking, Decision Making, Customer Focus",Dart,"Kafka, Airflow, Scikit-learn, PyCharm, Looker, Laravel","HashiCorp Certified: Terraform Associate, Microsoft Certified: Power BI Data Analyst Associate",True,True,7,"Innovation Challenges, Club Leadership Roles, 3D Modeling, Music","Web Technologies, Cloud Infrastructure, Digital Logic Design",3,"Logical, Analytical",MS in Computer Science
"Project Management, Web Development",On-site,9.0,"Time Management, Negotiation, Resilience",,"Angular, Kafka, InVision",ISTQB Foundation Level,False,False,4,Online Coding Contests,"IoT (Internet of Things), Object-Oriented Programming, Psychology",2,"Strategic, Analytical",AI Ethicist
"Quantum Computing, Web Development, Networking",Hybrid,6.4,"Negotiation, Problem Solving, Collaboration, Multitasking","Python, JavaScript, Dart, TypeScript","Unreal Engine, Android Studio",,True,True,1,"Video Editing, Blogging","Machine Learning, Project Management, Artificial Intelligence, Object-Oriented Programming",3,"Systematic, Logical",Embedded Systems Engineer
"Machine Learning, Deep Learning, Networking",Hybrid,8.0,Teamwork,"SQL, MATLAB","GCP, Airflow, AWS, MongoDB, Prometheus, Git",,False,True,5,"Video Editing, Open Source Contributions, Photography","Cloud Infrastructure, Probability and Statistics",2,"Innovative Thinking, Result-Oriented",Machine Learning Engineer
Big Data,On-site,8.7,"Collaboration, Critical Thinking, Presentation Skills","CSS, Dart, MATLAB, Java","Kubernetes, AWS, PyTorch, Prometheus, Spark, Google Colab","Google Data Analytics Certificate, Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate",True,True,3,"Tech Meetups, Startup Ideation Events","Big Data Analytics, Natural Language Processing, Virtualization and Containers",0,"Critical Thinking, Experimental",Data Scientist
"Deep Learning, Technical Writing",On-site,6.2,"Resilience, Problem Solving, Conflict Resolution, Adaptability","C#, Shell (Bash)","IntelliJ IDEA, Vue.js, Bitbucket, VS Code, Looker",Certified Ethical Hacker (CEH),True,True,8,"Graphic Design, Club Leadership Roles, UI/UX Projects, Volunteering","User Interface Design, Blockchain, Biology",2,Collaborative,MS in Data Science
"DevOps, Consulting",On-site,8.3,Strategic Thinking,"Shell (Bash), PHP, Go","Kubernetes, GitLab CI/CD, Azure, Terraform",,True,False,4,"Robotics Competitions, Community Service","Cloud Computing, Economics, Computer Vision",4,"Logical, Strategic Thinking",Cloud Engineer
"Game Development, Education Technology",Remote,8.1,"Analytical Thinking, Time Management, Teamwork, Conflict Resolution",PHP,"Prometheus, CircleCI",Google Data Analytics Certificate,True,True,6,"Gaming, Startup Ideation Events","Computer Architecture, Computer Vision",4,Result-Oriented,Product Manager
"Big Data, Design Systems",Hybrid,9.1,"Adaptability, Critical Thinking, Emotional Intelligence, Innovative Thinking",,"Unreal Engine, Ansible, Kafka","Tableau Desktop Specialist, Docker Certified Associate, Microsoft Certified: Azure AI Engineer",True,True,0,"Podcast Creation, Innovation Challenges, Sports, Gaming","Distributed Systems, Entrepreneurship, Discrete Mathematics, Digital Logic Design",1,"Systematic, Innovative",MS in Computer Science
"Product Management, Big Data",Remote,8.9,"Strategic Thinking, Teamwork","Assembly, Dart, Julia","Kafka, Scikit-learn, Ansible",,True,True,5,"Music, Hackathons, Video Editing","Machine Learning, Operating Systems, Theory of Computation, Digital Logic Design",2,Logical,MS in Computer Science
"Quantum Computing, Systems Programming, Networking",Remote,6.1,"Time Management, Multitasking, Leadership",Go,"Podman, Google Colab",,True,True,6,,"Quantum Computing, Big Data Analytics, Computer Networks, Computer Vision",0,Collaborative,Research Intern (AI/ML)
Bioinformatics,Hybrid,9.4,"Analytical Thinking, Collaboration, Accountability, Adaptability",TypeScript,"Figma, PostgreSQL, Terraform",,True,True,0,"Blogging, Debate Clubs, Gaming, Teaching/TA Work","Entrepreneurship, Sociology, Blockchain",0,Strategic,Blockchain Developer
"Technical Writing, Computer Vision",On-site,7.6,"Adaptability, Attention to Detail","CSS, Ruby, Julia, PowerShell","Vue.js, GCP, Selenium","AWS Certified Security Specialty, Backend Development (Node.js), Google UX Design Certificate",False,False,3,,"Artificial Intelligence, Data Structures and Algorithms, Economics",0,Big Picture Thinker,Technical Program Manager (TPM)
"Data Science, Consulting, IoT (Internet of Things)",On-site,7.8,"Strategic Thinking, Business Communication, Empathy",Haskell,"Airflow, ELK Stack, Sketch","AWS Certified Cloud Practitioner, Docker Certified Associate, Linux Foundation Certified Kubernetes Admin",False,False,4,Robotics Competitions,"Cloud Infrastructure, Mobile Application Development, User Interface Design",0,Intuitive,MLOps Engineer
"Software Engineering, Natural Language Processing, Platform Engineering",Remote,7.9,Strategic Thinking,"PHP, Kotlin","Vue.js, Azure, InVision","Android Developer Certification (Google), Cisco CCNA",True,True,5,"Robotics Competitions, 3D Modeling, Video Editing, Entrepreneurship Clubs","Entrepreneurship, Database Management Systems, Technical Communication, Digital Logic Design",2,Detail-Oriented,Ph.D. Candidate
"Deep Learning, Frontend Development",Remote,8.3,"Innovative Thinking, Collaboration",,"Angular, Spring Boot",,False,True,8,Animation Design,"Quantum Computing, Chemistry, Sociology, Database Management Systems",1,Detail-Oriented,AR/VR Developer
Artificial Intelligence,Remote,7.6,"Collaboration, Adaptability, Resilience","SQL, C#, PHP","Node.js, Insomnia, Azure, TensorFlow","Project Management Professional (PMP), Offensive Security Certified Professional (OSCP)",False,False,1,Gaming,"Natural Language Processing, Operating Systems",2,"Analytical, Result-Oriented",Solutions Architect
"Data Science, Mobile App Development, Platform Engineering",Hybrid,6.9,"Active Listening, Time Management","Kotlin, C++, Java","Firebase, IntelliJ IDEA, React Native, Android Studio, Gradle","AWS Certified Cloud Practitioner, Android Developer Certification (Google)",False,False,5,"Podcast Creation, Mentorship Programs","Software Engineering, Object-Oriented Programming",4,"Logical, Problem Solving",Mobile Developer (Android)
"Machine Learning, UI/UX Design",Hybrid,8.2,"Communication, Goal-Oriented Mindset","JavaScript, CSS, HTML, TypeScript","TensorFlow, Scikit-learn, Looker, Node.js, Webpack","Frontend Development Libraries (freeCodeCamp), Google Data Analytics Certificate",True,False,1,"Community Service, Blogging, 3D Modeling, Coding Clubs","Human Computer Interaction, User Interface Design",3,"Detail-Oriented, Creative",Software Developer (Frontend)
"Project Management, Web Development, Big Data",Remote,8.3,"Analytical Thinking, Conflict Resolution, Planning and Organization, Presentation Skills, Decision Making",C#,"Node.js, Kubernetes, Laravel","AWS Certified Cloud Practitioner, Project Management Professional (PMP)",True,True,3,"Music, Photography, Online Coding Contests, UI/UX Projects","Business Intelligence, Operating Systems",3,"Systematic, Result-Oriented",Solutions Architect
"Deep Learning, Ethical Hacking",On-site,8.8,"Multitasking, Innovative Thinking, Problem Solving, Negotiation, Attention to Detail","SQL, Go, Ruby","GCP, MongoDB, Prometheus",ISTQB Foundation Level,True,True,3,"Graphic Design, Open Source Contributions, 3D Modeling","Natural Language Processing, Discrete Mathematics, Operating Systems",3,Pragmatic,Systems Engineer
Big Data,On-site,8.4,Work Ethic,"C#, Dart, Julia, Haskell","Kafka, MySQL, Ansible","Google Cloud Associate Cloud Engineer, SAFe Agilist Certification",True,True,6,"Event Management, Startup Ideation Events","Human Computer Interaction, Information Security, Digital Logic Design",0,"Logical, Data-driven",MS in Computer Science
"Game Development, IoT (Internet of Things)",Remote,9.3,"Time Management, Critical Thinking, Decision Making, Work Ethic",,"Node.js, PyTorch, Grafana",,False,False,8,"Photography, Debate Clubs","Machine Learning, Blockchain",3,Result-Oriented,Game Developer
"Database Engineering, Frontend Development, IoT (Internet of Things)",On-site,6.2,Critical Thinking,,"PyTorch, Grafana","Backend Development (Node.js), Deep Learning Specialization (Coursera), Oracle Certified Java Programmer",True,True,7,"Case Competitions, Technical Writing, AR/VR Projects","Discrete Mathematics, Blockchain, Operating Systems",0,"Detail-Oriented, Intuitive",Game Developer
"Entrepreneurship, Database Engineering",Remote,7.0,"Emotional Intelligence, Decision Making, Negotiation, Innovative Thinking, Empathy","Python, Swift","React, PyCharm, Azure, Ansible",Project Management Professional (PMP),False,True,1,,"Chemistry, Big Data Analytics, Linear Algebra, Probability and Statistics",2,Big Picture Thinker,Bioinformatics Engineer
"Networking, Big Data",Remote,6.0,"Planning and Organization, Emotional Intelligence, Innovative Thinking",,"Figma, Adobe XD, InVision",,True,False,1,"Mentorship Programs, Technical Writing, Graphic Design","Big Data Analytics, Computer Networks",2,Innovative,Security Engineer
"Data Science, Cybersecurity, Academic Research",On-site,8.1,Time Management,"Assembly, Haskell, SQL, Java","Figma, AWS","Google Data Analytics Certificate, Microsoft Certified: Power BI Data Analyst Associate",False,False,8,"Mentorship Programs, Volunteering, Music","Ethical Hacking, Cloud Computing, Computer Architecture, IoT (Internet of Things)",2,Collaborative,Big Data Engineer
"Networking, Site Reliability Engineering (SRE), Finance Technology",On-site,9.8,"Analytical Thinking, Critical Thinking",PowerShell,"Airflow, Android Studio, DBT, Power BI",,False,False,6,"Student Government, Case Competitions","Cyber Security, Robotics, Bioinformatics, IoT (Internet of Things)",3,"User-Centered, Collaborative",Quality Assurance Engineer
"Machine Learning, Big Data, Cloud Computing",On-site,8.3,"Innovative Thinking, Analytical Thinking",Haskell,"Pandas, Scikit-learn, Angular, Git, Tableau","Google Data Analytics Certificate, Deep Learning Specialization (Coursera), IBM Data Science Professional Certificate",False,False,4,AR/VR Projects,"Machine Learning, Linear Algebra, Operating Systems, Biology",2,"Experimental, Analytical",Data Scientist
"Cloud Computing, Ethical Hacking, Education Technology",On-site,7.5,"Strategic Thinking, Multitasking, Work Ethic",Shell (Bash),"Express.js, Figma, Bitbucket, Power BI, MySQL","Salesforce Certified Administrator, Docker Certified Associate, Machine Learning (Stanford/Coursera)",True,False,8,Public Speaking,"Mobile Application Development, Economics",2,Strategic,AI Prompt Engineer
"Cloud Computing, Infrastructure",On-site,8.3,"Presentation Skills, Creative Thinking, Analytical Thinking, Multitasking, Business Communication",,"GCP, Adobe XD, CircleCI, Kubernetes, Vue.js, Jira","AWS Certified Cloud Practitioner, Google Cloud Associate Cloud Engineer",True,True,3,"Case Competitions, Coding Clubs","Security, Software Engineering, Virtualization and Containers",2,"Systematic, Analytical",Cloud Engineer
Entrepreneurship,Remote,8.4,"Multitasking, Accountability",,"Express.js, Adobe XD, Postman, Bitbucket","Kubernetes Certified Administrator (CKA), Certified ScrumMaster (CSM)",True,True,0,"Debate Clubs, Club Leadership Roles","Operating Systems, Data Structures and Algorithms, Discrete Mathematics, Computer Networks",2,"Creative, Result-Oriented",Security Engineer
"Education Technology, Systems Programming",Remote,9.2,"Planning and Organization, Strategic Thinking",PHP,"Sketch, Terraform, Unity","AWS Certified Security Specialty, Responsive Web Design (freeCodeCamp), Offensive Security Certified Professional (OSCP)",False,True,8,Gaming,"User Interface Design, Entrepreneurship, Sociology, Ethical Hacking",0,"Logical, Big Picture Thinker",Platform Engineer
"Ethical Hacking, Mobile App Development",Remote,7.2,"Strategic Thinking, Conflict Resolution, Time Management","JavaScript, Swift","InVision, Airflow, AWS, Scikit-learn, Spring Boot",,False,False,0,"Startup Ideation Events, Photography, Tech Meetups, UI/UX Projects","Information Security, Economics, Bioinformatics, Calculus",3,Big Picture Thinker,Business Analyst
"DevOps, Data Science, Cybersecurity",Hybrid,7.5,"Empathy, Planning and Organization","Rust, JavaScript","ELK Stack, GitLab CI/CD, Docker, Insomnia, VS Code, Laravel","AWS Certified Security Specialty, AWS Certified Cloud Practitioner, Offensive Security Certified Professional (OSCP)",False,False,4,"Student Government, Teaching/TA Work, Animation Design, Sports","Cloud Infrastructure, Mobile Application Development, Virtualization and Containers, Object-Oriented Programming",0,"Creative, Intuitive",MLOps Engineer
"Artificial Intelligence, Mobile App Development",On-site,7.7,Time Management,"Lisp, Dart","Figma, Scikit-learn, Terraform, Kubernetes",Google Cloud Associate Cloud Engineer,True,False,3,Mentorship Programs,"Digital Logic Design, Calculus",2,"Creative, Pragmatic",Business Analyst
Bioinformatics,On-site,6.4,Leadership,"Python, CSS, C++, TypeScript","Node.js, Figma, PostgreSQL, Django","AWS Certified Cloud Practitioner, Certified Ethical Hacker (CEH), Machine Learning (Stanford/Coursera)",True,True,3,Workshop Hosting,"Entrepreneurship, Sociology, Biology",1,Big Picture Thinker,Blockchain Developer
"Bioinformatics, Natural Language Processing, Game Development",On-site,8.0,"Empathy, Multitasking",,"Swagger, Adobe XD, MongoDB","HashiCorp Certified: Terraform Associate, Oracle Certified Java Programmer",False,True,7,"Volunteering, Tech Meetups, Teaching/TA Work","Cloud Infrastructure, Computer Architecture",2,"Strategic, Intuitive",Product Manager
"Backend Development, Web Development",On-site,7.2,"Adaptability, Resilience, Time Management, Active Listening","CSS, JavaScript, Python, Java, SQL, HTML, TypeScript","Kubernetes, React Native, Weights & Biases, VS Code, Xcode, Spring Boot","AWS Certified Cloud Practitioner, Backend Development (Node.js)",False,False,6,"Animation Design, Robotics Competitions, Technical Writing, Online Coding Contests","Distributed Systems, Entrepreneurship, Software Engineering, Database Management Systems",4,Systematic,Full Stack Developer
"DevOps, UI/UX Design",Remote,9.6,Analytical Thinking,PowerShell,"Insomnia, Postman, Looker, Node.js, Jenkins, Spring Boot",Oracle Certified Java Programmer,False,True,0,"Club Leadership Roles, Technical Writing, Gaming, Music","Natural Language Processing, Ethical Hacking",4,Systematic,Cybersecurity Analyst
"Artificial Intelligence, Big Data",Remote,7.0,Decision Making,"Assembly, Lisp, Go","Node.js, Spark, Android Studio",Project Management Professional (PMP),True,True,8,"Photography, Entrepreneurship Clubs, Technical Writing, Club Leadership Roles","Software Engineering, Natural Language Processing, Operating Systems",2,"Logical, Analytical",Solutions Architect
"Data Science, Big Data",Remote,7.0,"Analytical Thinking, Teamwork, Multitasking, Problem Solving, Conflict Resolution","Assembly, Python, Swift, CSS","Spark, Scikit-learn, GCP","Google Data Analytics Certificate, Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate",True,False,0,"Graphic Design, Startup Ideation Events","Web Technologies, Linear Algebra",3,Data-driven,Data Scientist
Embedded Systems,Hybrid,6.6,"Teamwork, Empathy","SQL, Dart, Go","Pytest, Jira, Bitbucket, MySQL, Tableau","iOS App Development with Swift (Apple), Responsive Web Design (freeCodeCamp)",False,False,6,"Event Management, Photography, Sports","Computer Architecture, Calculus",3,Experimental,Database Administrator
"Project Management, Design Systems",Remote,7.2,Multitasking,MATLAB,"Angular, InVision","ISTQB Foundation Level, Offensive Security Certified Professional (OSCP)",True,True,1,"Teaching/TA Work, Music, Event Management","Database Management Systems, Object-Oriented Programming",2,"Strategic, Pragmatic",AI Ethicist
"DevOps, Deep Learning, Consulting",On-site,7.6,Problem Solving,,"Figma, Xcode, Selenium","Microsoft Certified: Azure AI Engineer, CompTIA Security+",True,False,5,"Case Competitions, Startup Ideation Events","Cloud Infrastructure, Artificial Intelligence, Mobile Application Development",4,"Creative, Intuitive",Data Engineer
"Project Management, Web Development",Remote,7.6,"Empathy, Goal-Oriented Mindset, Teamwork, Collaboration",,"InVision, Weights & Biases, Angular, Jenkins, React, Tableau",,False,False,2,"UI/UX Projects, Event Management","Distributed Systems, Data Mining, Object-Oriented Programming, Psychology",4,"Big Picture Thinker, Pragmatic",AI Ethicist
"Embedded Systems, Mobile App Development",Hybrid,6.7,Collaboration,"PowerShell, C++, Scala, Java","Firebase, Jira, Mocha, Jest","Android Developer Certification (Google), Cisco CCNA",False,False,2,,"Mobile Application Development, Linear Algebra, Cloud Computing, IoT (Internet of Things)",3,"Innovative Thinking, Intuitive",Mobile Developer (Android)
"Deep Learning, Ethical Hacking",On-site,6.3,Business Communication,,"Node.js, MongoDB","Machine Learning (Stanford/Coursera), Google UX Design Certificate",False,False,2,"Community Service, Teaching/TA Work","Linear Algebra, Operating Systems",2,Pragmatic,Systems Engineer
"Human Computer Interaction, Embedded Systems",On-site,6.7,"Resilience, Time Management","Dart, Go, MATLAB, Java","Django, MySQL, Hadoop, Tableau",AWS Certified Cloud Practitioner,False,False,0,"Robotics Competitions, Online Coding Contests, Photography, Student Government","Ethical Hacking, Cryptography, Computer Architecture, Computer Vision",1,"Innovative, Pragmatic",Database Administrator
"Embedded Systems, Deep Learning, Frontend Development",On-site,7.4,"Active Listening, Communication",,"Express.js, React Native, Angular, Unreal Engine, Android Studio, Spring Boot",HashiCorp Certified: Terraform Associate,True,True,1,Event Management,"Quantum Computing, Sociology, Cryptography",4,Detail-Oriented,AR/VR Developer
"Full Stack Development, Big Data, Design Systems",Remote,7.8,"Negotiation, Emotional Intelligence, Decision Making, Work Ethic","Dart, MATLAB","Kafka, Terraform, Ansible, Jenkins, Laravel","AWS Certified Security Specialty, Docker Certified Associate",True,True,2,Photography,"Data Structures and Algorithms, Physics, Digital Logic Design, Cryptography",3,"Systematic, Intuitive",MS in Computer Science
"Networking, Systems Programming",Hybrid,7.5,"Analytical Thinking, Presentation Skills, Negotiation, Accountability, Creative Thinking",Go,"Pandas, React Native, Weights & Biases, Spark, Looker",,True,True,2,"Community Service, Animation Design, Student Government","Web Technologies, Bioinformatics, Data Mining, Computer Vision",2,"Systematic, Detail-Oriented",Research Intern (AI/ML)
"Technical Writing, Cybersecurity",Hybrid,6.7,Analytical Thinking,"JavaScript, Kotlin, Ruby","Podman, IntelliJ IDEA, Android Studio, Tableau","Deep Learning Specialization (Coursera), Certified Ethical Hacker (CEH)",True,True,5,Animation Design,"User Interface Design, Computer Networks, Psychology",3,"Detail-Oriented, Innovative",MS in Data Science
"Data Science, Consulting",On-site,7.9,"Problem Solving, Critical Thinking, Attention to Detail, Active Listening, Negotiation",,"Figma, AWS, Terraform, Google Colab, Android Studio",SAFe Agilist Certification,True,True,2,"Debate Clubs, Photography","Information Security, Human Computer Interaction, Chemistry, Cloud Computing",2,Collaborative,Big Data Engineer
"Product Management, Technical Writing, Systems Programming",Hybrid,9.7,"Presentation Skills, Adaptability",,"Figma, Scikit-learn, Looker, Xcode, Unity",,True,True,1,"Startup Ideation Events, Music, Online Coding Contests, Club Leadership Roles","Cloud Infrastructure, Human Computer Interaction, Operating Systems, IoT (Internet of Things)",2,Data-driven,Research Intern (General)
"Technical Writing, Bioinformatics",Hybrid,6.9,"Strategic Thinking, Teamwork, Accountability","R, C++, Kotlin, TypeScript","InVision, Figma, PostgreSQL, Prometheus, Terraform, Looker","AWS Certified Security Specialty, Deep Learning Specialization (Coursera)",False,False,3,,"Entrepreneurship, Sociology",0,Strategic,Blockchain Developer
"Site Reliability Engineering (SRE), Ethical Hacking",On-site,7.5,Active Listening,"PHP, Swift, PowerShell","Scikit-learn, Adobe XD, Android Studio, DBT","Google Cloud Associate Cloud Engineer, Microsoft Certified: SQL Associate, PCEP – Certified Entry-Level Python Programmer",False,False,7,UI/UX Projects,"Ethical Hacking, Technical Communication, Bioinformatics",0,User-Centered,Quality Assurance Engineer
Mobile App Development,On-site,9.4,Communication,"Rust, Kotlin","AWS, Scikit-learn, Angular, MySQL, Postman",,False,True,5,Robotics Competitions,"Information Security, Calculus",1,Pragmatic,Business Analyst
"Natural Language Processing, Mobile App Development",On-site,6.4,"Resilience, Collaboration, Accountability, Communication, Attention to Detail","Assembly, CSS, PHP, Java","TensorFlow, Azure, InVision",,True,True,2,"3D Modeling, Startup Ideation Events, Technical Writing, Robotics Competitions","Chemistry, Technical Communication",2,"Detail-Oriented, Logical",Ph.D. Candidate
"Data Science, Computer Vision",Remote,9.8,"Problem Solving, Business Communication, Creative Thinking, Empathy",,"GCP, MySQL, Laravel, TensorFlow","Deep Learning Specialization (Coursera), IBM Data Science Professional Certificate",False,True,2,"Case Competitions, Graphic Design, UI/UX Projects, Teaching/TA Work","Quantum Computing, Data Structures and Algorithms, Theory of Computation, Data Mining",1,Analytical,Data Scientist
"Entrepreneurship, Consulting",Remote,9.5,"Collaboration, Work Ethic, Time Management, Business Communication","Rust, C#, CSS","Node.js, Ansible","Kubernetes Certified Administrator (CKA), PCEP – Certified Entry-Level Python Programmer, ISTQB Foundation Level",False,False,3,Event Management,"Cloud Infrastructure, Information Security, Theory of Computation, Technical Communication",2,Creative,MLOps Engineer
"Quantum Computing, Site Reliability Engineering (SRE), Finance Technology",Hybrid,7.7,"Resilience, Strategic Thinking, Planning and Organization, Collaboration, Empathy",PowerShell,"Xcode, Android Studio, DBT","AWS Certified Cloud Practitioner, CompTIA Security+, Oracle Certified Java Programmer",False,False,2,"Teaching/TA Work, Debate Clubs, 3D Modeling","Project Management, Compiler Design, Natural Language Processing, Bioinformatics",3,Pragmatic,Quality Assurance Engineer
"Full Stack Development, Web Development",Remote,8.2,"Leadership, Negotiation, Emotional Intelligence, Presentation Skills","Python, JavaScript, CSS, Java, SQL, TypeScript","Laravel, VS Code, Django","AWS Certified Security Specialty, Backend Development (Node.js), Responsive Web Design (freeCodeCamp)",False,False,6,"3D Modeling, Video Editing, Community Service","Data Structures and Algorithms, Big Data Analytics",4,"Systematic, Strategic",Full Stack Developer
"Ethical Hacking, Education Technology",Remote,9.7,Decision Making,"Go, Shell (Bash)","Express.js, Jenkins",Tableau Desktop Specialist,True,False,8,"Blogging, Entrepreneurship Clubs","Mobile Application Development, Linear Algebra, Economics, Technical Communication",2,Logical,AI Prompt Engineer
"Frontend Development, UI/UX Design",On-site,6.9,Conflict Resolution,"JavaScript, CSS, HTML, TypeScript","VS Code, Angular, React","HashiCorp Certified: Terraform Associate, Offensive Security Certified Professional (OSCP), Google UX Design Certificate",False,False,1,Mentorship Programs,"Data Structures and Algorithms, User Interface Design",1,Creative,Software Developer (Frontend)
"Quantum Computing, Design Systems, Networking",Hybrid,8.2,"Teamwork, Communication, Problem Solving, Adaptability",TypeScript,"Hadoop, Android Studio, Scikit-learn, MySQL, Jest, Xcode",Kubernetes Certified Administrator (CKA),True,True,3,"Student Government, Tech Meetups, Photography, Hackathons","Information Security, Artificial Intelligence, Software Engineering, Compiler Design",0,Result-Oriented,Embedded Systems Engineer
"Backend Development, Deep Learning, Mobile App Development",On-site,7.2,"Conflict Resolution, Critical Thinking, Resilience","SQL, HTML, JavaScript","React, PostgreSQL",,False,False,8,Robotics Competitions,"Web Technologies, Artificial Intelligence",4,Systematic,Full Stack Developer
